url,title,content,image_url,local_image_path,permalink
https://global.shaktimanagro.com/champion/,Champion ES ,"Inbuilt Air Compressor for Cleaning machine, radiator grille and filling air in tyres. Auto cleaning system prevents overheating enabling machine to work for longer duration. Extractor hood with ceramic coating to prevent excessive wera and tear during operation. ES",https://global.shaktimanagro.com/wp-content/uploads/2024/08/1-2.png,champion.png,champion
https://global.shaktimanagro.com/champion-2/,Champion 2 ES ,"Inbuilt Air Compressor for Cleaning machine, radiator grille and filling air in tyres. Auto cleaning system prevents overheating enabling machine to work for longer duration. Extractor hood with ceramic coating to prevent excessive wera and tear during operation. ES",https://global.shaktimanagro.com/wp-content/uploads/2024/08/1-2.png,champion-2.png,champion-2
https://global.shaktimanagro.com/champion-3/,Champion 3 ES ,"Inbuilt Air Compressor for Cleaning machine, radiator grille and filling air in tyres. Auto cleaning system prevents overheating enabling machine to work for longer duration. Extractor hood with ceramic coating to prevent excessive wera and tear during operation. ES",https://global.shaktimanagro.com/wp-content/uploads/2024/08/1-2.png,champion-3.png,champion-3
https://global.shaktimanagro.com/champion-4/,Champion 4 ES ,"Inbuilt Air Compressor for Cleaning machine, radiator grille and filling air in tyres. Auto cleaning system prevents overheating enabling machine to work for longer duration. Extractor hood with ceramic coating to prevent excessive wera and tear during operation. ES",https://global.shaktimanagro.com/wp-content/uploads/2024/08/1-2.png,champion-4.png,champion-4
https://global.shaktimanagro.com/champion-5/,Champion 5 ES ,"Inbuilt Air Compressor for Cleaning machine, radiator grille and filling air in tyres. Auto cleaning system prevents overheating enabling machine to work for longer duration. Extractor hood with ceramic coating to prevent excessive wera and tear during operation. ES",https://global.shaktimanagro.com/wp-content/uploads/2024/08/1-2.png,champion-5.png,champion-5
https://global.shaktimanagro.com/champion-6/,Champion 6 ES ,"Inbuilt Air Compressor for Cleaning machine, radiator grille and filling air in tyres. Auto cleaning system prevents overheating enabling machine to work for longer duration. Extractor hood with ceramic coating to prevent excessive wera and tear during operation. ES",https://global.shaktimanagro.com/wp-content/uploads/2024/08/1-2.png,champion-6.png,champion-6
https://global.shaktimanagro.com/champion-7/,Champion 7 ES ,"Inbuilt Air Compressor for Cleaning machine, radiator grille and filling air in tyres. Auto cleaning system prevents overheating enabling machine to work for longer duration. Extractor hood with ceramic coating to prevent excessive wera and tear during operation. ES",https://global.shaktimanagro.com/wp-content/uploads/2024/08/1-2.png,champion-7.png,champion-7
https://global.shaktimanagro.com/champion-8/,Champion 8 ES ,"Inbuilt Air Compressor for Cleaning machine, radiator grille and filling air in tyres. Auto cleaning system prevents overheating enabling machine to work for longer duration. Extractor hood with ceramic coating to prevent excessive wera and tear during operation. ES",https://global.shaktimanagro.com/wp-content/uploads/2024/08/1-2.png,champion-8.png,champion-8
https://global.shaktimanagro.com/champion-9/,Champion 9 ES ,"Inbuilt Air Compressor for Cleaning machine, radiator grille and filling air in tyres. Auto cleaning system prevents overheating enabling machine to work for longer duration. Extractor hood with ceramic coating to prevent excessive wera and tear during operation. ES",https://global.shaktimanagro.com/wp-content/uploads/2024/08/1-2.png,champion-9.png,champion-9
https://global.shaktimanagro.com/champion-10/,Champion 10 ES ,"Inbuilt Air Compressor for Cleaning machine, radiator grille and filling air in tyres. Auto cleaning system prevents overheating enabling machine to work for longer duration. Extractor hood with ceramic coating to prevent excessive wera and tear during operation. ES",https://global.shaktimanagro.com/wp-content/uploads/2024/08/1-2.png,champion-10.png,champion-10
